step,timestamp,amount,customer_id,merchant_id,transaction_type,payment_method,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,amount_deducted,amount_credited,is_fraud,type_PAYMENT,type_TRANSFER,type_CASH_OUT,type_DEBIT,type_CASH_IN
344,2025-03-15T08:00:00,205035.0,63001,3153,TRANSFER,UPI,1316418.082829924,1169985.8601485188,212052.93658376427,221979.66671928755,146432.22268140526,9926.730135523278,0,0.0,1.0,0.0,0.0,0.0
492,2025-03-21T12:00:00,106766.0,24450,2042,TRANSFER,UPI,237146.37764361117,135298.4201121851,612559.937158832,645233.3380268998,101847.95753142607,32673.400868067867,0,0.0,1.0,0.0,0.0,0.0
414,2025-03-18T06:00:00,69292.0,76533,9948,TRANSFER,NETBANKING,628902.8484554486,627185.2153519485,1212805.4336983983,1277858.9688597855,1717.6331035001203,65053.535161387175,0,0.0,1.0,0.0,0.0,0.0
386,2025-03-17T02:00:00,94033.0,31891,6691,TRANSFER,UPI,3927051.9760716055,3840387.2058086805,2691395.0045216307,2758158.108639809,86664.77026292495,66763.10411817813,0,0.0,1.0,0.0,0.0,0.0
192,2025-03-09T00:00:00,142239.0,69026,7844,CASH_OUT,WALLET,808694.3236543393,729646.3455344108,64779.713365611766,65352.36524785043,79047.9781199285,572.6518822386643,0,0.0,0.0,1.0,0.0,0.0
277,2025-03-12T13:00:00,76851.0,73444,4343,DEBIT,CARD,2784586.058868537,2775994.2898433832,499611.33426309517,521492.9660581446,8591.769025153946,21881.631795049412,0,0.0,0.0,0.0,1.0,0.0
161,2025-03-07T17:00:00,694546.0,12751,2618,DEBIT,CARD,1678624.4793558868,1529358.7166049278,953597.3627567632,965750.4560621959,149265.76275095902,12153.093305432703,0,0.0,0.0,0.0,1.0,0.0
460,2025-03-20T04:00:00,540844.0,23750,3547,PAYMENT,CARD,1096684.473524687,635799.2377750096,1510993.1299610655,1670169.436844455,460885.2357496775,159176.3068833896,1,1.0,0.0,0.0,0.0,0.0
314,2025-03-14T02:00:00,409080.0,78837,8772,TRANSFER,UPI,429806.7813743184,222764.45748570564,2537436.617178397,2817857.756545444,207042.32388861277,280421.13936704723,1,0.0,1.0,0.0,0.0,0.0
22,2025-03-01T22:00:00,109577.0,42669,6919,CASH_OUT,WALLET,362864.5565951213,255170.33890768373,497.4387552684728,83751.70626202432,107694.21768743754,83254.26750675584,0,0.0,0.0,1.0,0.0,0.0
253,2025-03-11T13:00:00,235078.0,84732,2886,CASH_OUT,WALLET,1031199.6479215872,1003570.6697613776,988225.5589004711,1177253.6141280215,27628.978160209605,189028.05522755045,0,0.0,0.0,1.0,0.0,0.0
561,2025-03-24T09:00:00,466257.0,25428,5223,DEBIT,CARD,566622.4488353935,374289.821267711,6961.097512812037,431250.3500656685,192332.62756768253,424289.25255285646,0,0.0,0.0,0.0,1.0,0.0
475,2025-03-20T19:00:00,379997.0,58604,8042,CASH_OUT,WALLET,1603225.364419294,1477114.0716719346,1547662.3651432449,1686662.697100365,126111.29274735949,139000.33195712022,0,0.0,0.0,1.0,0.0,0.0
59,2025-03-03T11:00:00,106999.0,57373,7409,CASH_OUT,WALLET,1429021.2502178287,1373795.2746943182,162126.76759668413,254423.8607132418,55225.97552351048,92297.09311655766,0,0.0,0.0,1.0,0.0,0.0
511,2025-03-22T07:00:00,23844.0,68967,5659,CASH_OUT,WALLET,374156.11999385,359052.42864072043,2250188.481257985,2267539.014435125,15103.691353129572,17350.53317714017,0,0.0,0.0,1.0,0.0,0.0
682,2025-03-29T10:00:00,15729.0,28223,2447,CASH_OUT,WALLET,1213110.3685380116,1202703.5986141076,168565.6869856572,177024.04873084277,10406.76992390398,8458.361745185568,0,0.0,0.0,1.0,0.0,0.0
476,2025-03-20T20:00:00,172107.0,98325,8311,CASH_OUT,WALLET,682306.5334770745,682083.503473098,1445318.4376210822,1609617.073866666,223.0300039764261,164298.63624558388,0,0.0,0.0,1.0,0.0,0.0
700,2025-03-30T04:00:00,205796.0,29046,1350,PAYMENT,CARD,390515.56271322083,372207.8612827093,341510.40584804316,536551.698866559,18307.701430511544,195041.2930185158,0,1.0,0.0,0.0,0.0,0.0
190,2025-03-08T22:00:00,379214.0,50916,5923,CASH_OUT,WALLET,532673.5489585331,519376.852342525,814758.7699019636,1155142.8796932301,13296.696616008121,340384.1097912665,0,0.0,0.0,1.0,0.0,0.0
687,2025-03-29T15:00:00,69208.0,25072,7252,DEBIT,CARD,2257151.6726980587,2197314.4949741266,937601.7958058597,951597.5443118688,59837.17772393208,13995.748506009113,0,0.0,0.0,0.0,1.0,0.0
563,2025-03-24T11:00:00,36657.0,97893,9944,PAYMENT,CARD,445533.7803883521,434049.4262642786,231630.2726834857,239250.77723834146,11484.354124073521,7620.504554855754,0,1.0,0.0,0.0,0.0,0.0
567,2025-03-24T15:00:00,95287.0,89317,2823,PAYMENT,UPI,338834.0060515304,303857.6318654573,354815.0795963795,440668.94785729935,34976.37418607314,85853.86826091987,0,1.0,0.0,0.0,0.0,0.0
244,2025-03-11T04:00:00,87260.0,70064,8102,PAYMENT,CARD,433567.1279697782,394267.73278668977,113737.48518394225,148459.38673155016,39299.39518308843,34721.90154760791,0,1.0,0.0,0.0,0.0,0.0
505,2025-03-22T01:00:00,28421.0,67198,9965,PAYMENT,CARD,241585.610768808,217447.53049446412,5303.041679951123,27967.204998992354,24138.08027434387,22664.163319041232,0,1.0,0.0,0.0,0.0,0.0
131,2025-03-06T11:00:00,223121.0,80173,9270,DEBIT,CARD,786655.9561394992,783495.1658273668,273737.1412310682,427008.01927832636,3160.790312132449,153270.8780472582,0,0.0,0.0,0.0,1.0,0.0
485,2025-03-21T05:00:00,142137.0,90908,8840,PAYMENT,UPI,159507.51110553966,142647.46544001086,725675.2397133785,834034.3471177877,16860.0456655288,108359.10740440921,0,1.0,0.0,0.0,0.0,0.0
647,2025-03-27T23:00:00,255397.0,24413,9180,CASH_OUT,WALLET,1700697.1338641196,1525708.5279587002,1250356.274894577,1257066.532970608,174988.60590541945,6710.258076030994,0,0.0,0.0,1.0,0.0,0.0
21,2025-03-01T21:00:00,86986.0,70766,1187,DEBIT,CARD,255641.23617258522,171796.0811923422,1577743.6496401506,1615143.899459212,83845.15498024304,37400.249819061486,0,0.0,0.0,0.0,1.0,0.0
167,2025-03-07T23:00:00,78817.0,72233,5540,DEBIT,CARD,911440.0841596235,860777.5867922573,72319.06937278394,139872.60821688,50662.49736736622,67553.53884409607,0,0.0,0.0,0.0,1.0,0.0
274,2025-03-12T10:00:00,127950.0,76786,1294,TRANSFER,UPI,133560.53467188348,100149.78688146388,318021.54352977214,380707.52971135033,33410.7477904196,62685.98618157819,0,0.0,1.0,0.0,0.0,0.0
388,2025-03-17T04:00:00,419778.0,64626,3866,TRANSFER,NETBANKING,3837525.561936239,3619297.91174905,1470650.2651462285,1760353.3011329689,218227.65018718876,289703.0359867404,1,0.0,1.0,0.0,0.0,0.0
601,2025-03-26T01:00:00,8223.0,68479,6937,PAYMENT,UPI,606190.8130549958,598173.5486042898,655598.7782429568,661814.9707408709,8017.264450706076,6216.192497914075,0,1.0,0.0,0.0,0.0,0.0
316,2025-03-14T04:00:00,326780.0,46069,9857,PAYMENT,NETBANKING,1726934.780808578,1554369.9269211553,201121.55937401886,240582.98295408627,172564.8538874227,39461.42358006741,1,1.0,0.0,0.0,0.0,0.0
14,2025-03-01T14:00:00,92086.0,43655,1295,PAYMENT,CARD,1463814.2083670052,1429419.384775854,497932.4456496794,512274.4320473729,34394.823591151275,14341.986397693516,0,1.0,0.0,0.0,0.0,0.0
242,2025-03-11T02:00:00,385680.0,73092,9129,PAYMENT,CARD,1250690.7819674956,1102811.213977298,314757.58278583444,594203.4221147605,147879.56799019757,279445.83932892606,1,1.0,0.0,0.0,0.0,0.0
346,2025-03-15T10:00:00,324103.0,45500,8053,TRANSFER,UPI,1756574.993837778,1443156.5326026722,51981.43136710289,69667.9103509929,313418.46123510576,17686.47898389001,0,0.0,1.0,0.0,0.0,0.0
565,2025-03-24T13:00:00,85776.0,37134,8044,PAYMENT,CARD,105875.76911109748,44209.985114158684,1442344.8291386033,1471671.241992738,61665.7839969388,29326.412854134804,0,1.0,0.0,0.0,0.0,0.0
340,2025-03-15T04:00:00,236753.0,93184,5605,TRANSFER,NETBANKING,1134749.018303458,972058.7832163716,344878.596552258,562237.6420262664,162690.23508708656,217359.04547400842,0,0.0,1.0,0.0,0.0,0.0
92,2025-03-04T20:00:00,34783.0,85324,5540,DEBIT,CARD,309010.90377740125,300939.358306032,2902812.7296449644,2922790.5489271674,8071.545471369231,19977.81928220298,0,0.0,0.0,0.0,1.0,0.0
367,2025-03-16T07:00:00,453215.0,45862,5452,TRANSFER,UPI,1541179.7430854323,1287612.912981414,2190373.4639158407,2603016.0008248924,253566.83010401833,412642.5369090517,0,0.0,1.0,0.0,0.0,0.0
455,2025-03-19T23:00:00,103668.0,62289,3985,TRANSFER,UPI,3143507.714919139,3106524.653678728,1259758.5615150814,1291835.1462065394,36983.06124041136,32076.584691457916,0,0.0,1.0,0.0,0.0,0.0
428,2025-03-18T20:00:00,121624.0,26565,8620,CASH_OUT,WALLET,2317592.4404398743,2288378.1700594136,395466.8386411624,472895.88902605267,29214.270380460657,77429.05038489029,0,0.0,0.0,1.0,0.0,0.0
509,2025-03-22T05:00:00,244671.0,46189,2196,PAYMENT,CARD,122113.64952593205,0.0,328397.8957765222,398555.53663867025,122113.64952593205,70157.64086214808,0,1.0,0.0,0.0,0.0,0.0
35,2025-03-02T11:00:00,343895.0,86000,1612,CASH_OUT,WALLET,461325.26846551604,329559.9016110971,644874.2551990672,683088.4857269708,131765.36685441894,38214.23052790365,0,0.0,0.0,1.0,0.0,0.0
206,2025-03-09T14:00:00,53927.0,37677,5287,PAYMENT,UPI,453064.32432394556,437814.4610133505,437888.87344621564,491314.09967322164,15249.863310595043,53425.226227006,0,1.0,0.0,0.0,0.0,0.0
81,2025-03-04T09:00:00,216558.0,77806,2764,PAYMENT,UPI,130446.17550172702,0.0,2314235.9415653795,2352400.423386283,130446.17550172702,38164.48182090372,0,1.0,0.0,0.0,0.0,0.0
562,2025-03-24T10:00:00,99515.0,13553,2994,PAYMENT,UPI,103280.51740681402,83641.5907634827,131813.0290358077,150569.87048188245,19638.926643331317,18756.841446074744,0,1.0,0.0,0.0,0.0,0.0
388,2025-03-17T04:00:00,91996.0,22366,3731,PAYMENT,CARD,485954.38480372564,417370.9266289444,1289049.9644470706,1366503.086713747,68583.45817478123,77453.12226667628,0,1.0,0.0,0.0,0.0,0.0
2,2025-03-01T02:00:00,234253.0,22094,7238,PAYMENT,UPI,4837297.785341666,4684389.808509479,943910.6603359184,1131837.0808706288,152907.9768321868,187926.4205347104,0,1.0,0.0,0.0,0.0,0.0
390,2025-03-17T06:00:00,97938.0,20911,9263,CASH_IN,UPI,841514.1375590534,751363.7336131284,1641450.859008172,1737217.5602658151,90150.40394592495,95766.70125764306,0,0.0,0.0,0.0,0.0,1.0
566,2025-03-24T14:00:00,84963.0,39493,3660,TRANSFER,NETBANKING,972283.5480630287,901590.3271139001,781950.6935577847,788046.2803421001,70693.22094912862,6095.586784315412,0,0.0,1.0,0.0,0.0,0.0
106,2025-03-05T10:00:00,361442.0,40283,4669,TRANSFER,UPI,636802.5944899549,381879.280327415,993011.6314083736,1027032.5738815462,254923.3141625399,34020.94247317256,0,0.0,1.0,0.0,0.0,0.0
477,2025-03-20T21:00:00,21356.0,26608,7166,CASH_OUT,WALLET,1085687.8274158034,1078969.8350299562,3289851.874942215,3299434.6110214298,6717.992385847261,9582.736079214606,0,0.0,0.0,1.0,0.0,0.0
703,2025-03-30T07:00:00,225336.0,56456,8735,CASH_OUT,WALLET,3138727.293827298,3027057.7551036375,96468.55843494358,229810.5576534531,111669.53872366063,133341.99921850953,0,0.0,0.0,1.0,0.0,0.0
402,2025-03-17T18:00:00,57197.0,34002,2950,PAYMENT,CARD,888427.4283494119,834405.1042876373,110781.4700910656,112956.62526798838,54022.32406177465,2175.155176922781,0,1.0,0.0,0.0,0.0,0.0
730,2025-03-31T10:00:00,3124.0,62784,1881,CASH_OUT,WALLET,67249.88393110177,67177.39891316518,500228.1174385911,500722.9271613476,72.48501793658943,494.8097227565013,0,0.0,0.0,1.0,0.0,0.0
556,2025-03-24T04:00:00,36488.0,78398,6685,DEBIT,CARD,679028.4587761014,650044.8791885558,640047.8255440725,665711.1299079983,28983.579587545595,25663.30436392571,0,0.0,0.0,0.0,1.0,0.0
162,2025-03-07T18:00:00,186617.0,71276,6838,TRANSFER,UPI,4926929.44649751,4879937.354326858,222983.61668276307,347744.50360422896,46992.092170652,124760.88692146589,0,0.0,1.0,0.0,0.0,0.0
202,2025-03-09T10:00:00,246974.0,61969,7494,TRANSFER,NETBANKING,490047.5256548048,444353.1511017639,86285.6007738641,108435.76121873381,45694.37455304089,22150.160444869703,0,0.0,1.0,0.0,0.0,0.0
270,2025-03-12T06:00:00,4257.0,49125,3542,DEBIT,CARD,901109.6429796201,900121.0627960244,22425.846624900198,26391.94957523993,988.5801835957682,3966.102950339733,0,0.0,0.0,0.0,1.0,0.0
271,2025-03-12T07:00:00,7421.0,31762,5452,TRANSFER,UPI,112762.02093186634,112318.60882396824,1446436.1639070078,1448326.7661041657,443.412107898097,1890.6021971579175,0,0.0,1.0,0.0,0.0,0.0
456,2025-03-20T00:00:00,465667.0,14700,1194,CASH_IN,CARD,152196.50566262603,0.0,663699.8285361732,1076853.8619892686,152196.50566262603,413154.03345309536,0,0.0,0.0,0.0,0.0,1.0
462,2025-03-20T06:00:00,15226.0,55309,6570,PAYMENT,NETBANKING,2076896.4085124745,2063651.7809377285,1854082.3975373723,1868135.815422372,13244.627574746031,14053.417884999653,0,1.0,0.0,0.0,0.0,0.0
727,2025-03-31T07:00:00,449207.0,95256,5841,CASH_OUT,WALLET,357167.3912447366,123105.40274335965,447596.13879029,667738.8832742779,234061.98850137697,220142.74448398792,0,0.0,0.0,1.0,0.0,0.0
252,2025-03-11T12:00:00,51797.0,44422,6785,TRANSFER,UPI,364492.9584923638,327452.7591526421,1215526.390801014,1236865.020054312,37040.1993397217,21338.629253298044,0,0.0,1.0,0.0,0.0,0.0
702,2025-03-30T06:00:00,269428.0,55819,4305,PAYMENT,NETBANKING,489737.8683562401,339775.4929144853,670447.8163174741,745385.7263446512,149962.37544175482,74937.91002717707,0,1.0,0.0,0.0,0.0,0.0
296,2025-03-13T08:00:00,74135.0,21227,1956,DEBIT,CARD,3395573.4129981003,3335407.0079512377,946930.3644313705,1006785.6289100774,60166.40504686255,59855.26447870687,0,0.0,0.0,0.0,1.0,0.0
725,2025-03-31T05:00:00,391448.0,85018,1188,CASH_IN,UPI,88165.31091923638,0.0,462347.95464204246,539302.160333329,88165.31091923638,76954.20569128654,0,0.0,0.0,0.0,0.0,1.0
720,2025-03-31T00:00:00,241098.0,60555,2447,PAYMENT,CARD,1707955.7954542674,1651830.488807387,84653.90758450227,234646.89664597245,56125.30664688046,149992.98906147017,0,1.0,0.0,0.0,0.0,0.0
338,2025-03-15T02:00:00,102771.0,92537,7486,DEBIT,CARD,417878.6530297146,370629.9148922182,2944537.045992869,3002821.9792769286,47248.7381374964,58284.93328405963,0,0.0,0.0,0.0,1.0,0.0
53,2025-03-03T05:00:00,15874.0,34529,4259,PAYMENT,UPI,1893579.7654341657,1883502.1925016404,1808436.8849511156,1812387.843984751,10077.572932525305,3950.959033635445,0,1.0,0.0,0.0,0.0,0.0
217,2025-03-10T01:00:00,263877.0,66718,5367,PAYMENT,CARD,4798227.101639625,4540039.070581205,373809.14695936366,633212.6852027996,258188.0310584195,259403.53824343596,0,1.0,0.0,0.0,0.0,0.0
188,2025-03-08T20:00:00,191884.0,47982,8302,PAYMENT,CARD,428734.87662198994,297737.7078035015,3186963.860087207,3349359.93237481,130997.16881848843,162396.07228760282,0,1.0,0.0,0.0,0.0,0.0
380,2025-03-16T20:00:00,583.0,66395,3752,DEBIT,CARD,138522.53190593884,137999.21069467498,357373.3755211767,357385.343594157,523.3212112638575,11.968072980293073,0,0.0,0.0,0.0,1.0,0.0
493,2025-03-21T13:00:00,1893.0,32211,4237,CASH_OUT,WALLET,155923.66495032006,154321.9748378015,585172.1221899935,585971.4460284924,1601.690112518554,799.323838498909,0,0.0,0.0,1.0,0.0,0.0
41,2025-03-02T17:00:00,330880.0,68812,4080,PAYMENT,UPI,1421883.781752265,1229290.7552423018,1407050.9388927938,1525827.570379362,192593.0265099632,118776.63148656813,0,1.0,0.0,0.0,0.0,0.0
157,2025-03-07T13:00:00,60059.0,99468,1815,TRANSFER,UPI,156562.06260299985,102890.01533304286,369621.60332653666,422642.2446354566,53672.047269956995,53020.641308919934,0,0.0,1.0,0.0,0.0,0.0
15,2025-03-01T15:00:00,202194.0,59060,9612,PAYMENT,UPI,301674.9423263038,225362.53349040836,392313.9331034984,445793.33590988046,76312.40883589545,53479.402806382044,0,1.0,0.0,0.0,0.0,0.0
65,2025-03-03T17:00:00,121106.0,33333,3653,CASH_OUT,WALLET,228656.65013178688,182723.13889331368,527772.0039359163,648690.3685252732,45933.511238473206,120918.36458935682,0,0.0,0.0,1.0,0.0,0.0
521,2025-03-22T17:00:00,398184.0,80325,5936,TRANSFER,UPI,439557.5532233292,128589.52953439031,631843.9365470171,711512.4294213583,310968.0236889389,79668.4928743412,0,0.0,1.0,0.0,0.0,0.0
344,2025-03-15T08:00:00,497689.0,19515,1650,PAYMENT,CARD,77276.99220507356,10316.08979885059,131951.20385316882,253329.87989676784,66960.90240622297,121378.67604359903,0,1.0,0.0,0.0,0.0,0.0
129,2025-03-06T09:00:00,1149404.0,17377,3435,CASH_OUT,WALLET,1943111.4459318493,1591594.7176842727,17646.44470926199,783243.3258526435,351516.7282475766,765596.8811433815,0,0.0,0.0,1.0,0.0,0.0
648,2025-03-28T00:00:00,33373.0,90587,2122,TRANSFER,UPI,1967158.4871470125,1946848.5987440164,2515248.6623471575,2520623.613379898,20309.88840299612,5374.95103274053,0,0.0,1.0,0.0,0.0,0.0
472,2025-03-20T16:00:00,397502.0,53461,1939,CASH_OUT,WALLET,532616.1530512692,365639.2373704594,435700.57571160974,789001.2300141898,166976.91568080982,353300.6543025801,0,0.0,0.0,1.0,0.0,0.0
63,2025-03-03T15:00:00,61855.0,36998,1515,TRANSFER,UPI,946975.658190915,888787.1931157786,107238.50191680099,114038.17007176332,58188.465075136395,6799.668154962332,0,0.0,1.0,0.0,0.0,0.0
139,2025-03-06T19:00:00,178718.0,81123,8788,TRANSFER,NETBANKING,1027087.0249269002,855784.7371767074,1423669.8107222102,1599406.33330194,171302.2877501928,175736.5225797298,0,0.0,1.0,0.0,0.0,0.0
499,2025-03-21T19:00:00,140952.0,59939,4012,TRANSFER,UPI,1383331.2169546697,1312491.3763147485,349643.5380261203,472926.23629981914,70839.84063992114,123282.69827369886,0,0.0,1.0,0.0,0.0,0.0
593,2025-03-25T17:00:00,3630.0,97942,4908,PAYMENT,CARD,735407.8919205572,733451.0972585299,200482.3594447054,203530.31256355534,1956.794662027387,3047.953118849953,0,1.0,0.0,0.0,0.0,0.0
392,2025-03-17T08:00:00,539931.0,53660,7960,PAYMENT,CARD,714035.9301745248,322787.2998590242,3286379.614356111,3506248.8774942663,391248.6303155006,219869.26313815545,0,1.0,0.0,0.0,0.0,0.0
675,2025-03-29T03:00:00,16313.0,45388,5841,CASH_OUT,WALLET,997782.2187855976,990322.8560602525,2532537.9180585477,2540916.9544223445,7459.362725345069,8379.036363796797,0,0.0,0.0,1.0,0.0,0.0
419,2025-03-18T11:00:00,233091.0,23157,1053,CASH_OUT,WALLET,1214186.1018403936,1169875.85984968,111765.26896890644,218138.18547257045,44310.241990713635,106372.916503664,0,0.0,0.0,1.0,0.0,0.0
289,2025-03-13T01:00:00,307430.0,33229,8825,DEBIT,CARD,425704.10745553527,196063.37594578767,2295462.61637373,2599027.277218989,229640.7315097476,303564.6608452592,1,0.0,0.0,0.0,1.0,0.0
379,2025-03-16T19:00:00,317230.0,79503,2476,TRANSFER,NETBANKING,401030.6647050232,166982.8470255716,2215192.776934273,2226240.610364833,234047.81767945163,11047.83343055984,0,0.0,1.0,0.0,0.0,0.0
490,2025-03-21T10:00:00,29120.0,73128,4788,DEBIT,CARD,314325.07140743744,307191.22167666885,1006145.8382096902,1017261.2035571605,7133.84973076859,11115.365347470273,0,0.0,0.0,0.0,1.0,0.0
231,2025-03-10T15:00:00,118686.0,83292,2029,TRANSFER,UPI,795947.7652227737,697092.235156045,754465.2946782246,869399.4308771096,98855.53006672871,114934.13619888504,0,0.0,1.0,0.0,0.0,0.0
41,2025-03-02T17:00:00,353721.0,15022,2218,TRANSFER,UPI,446530.39715302666,229469.78974609094,245182.78815448203,375843.86448245356,217060.6074069357,130661.07632797153,0,0.0,1.0,0.0,0.0,0.0
28,2025-03-02T04:00:00,72102.0,97467,1058,PAYMENT,NETBANKING,777210.038251964,760172.2195450056,129407.65027062106,158131.88500799282,17037.81870695844,28724.234737371764,0,1.0,0.0,0.0,0.0,0.0
135,2025-03-06T15:00:00,126128.0,56809,3903,CASH_OUT,WALLET,520850.3131923402,438609.92001662985,932341.4862042919,1011966.1867484099,82240.39317571034,79624.70054411795,0,0.0,0.0,1.0,0.0,0.0
201,2025-03-09T09:00:00,63709.0,71276,7494,TRANSFER,NETBANKING,1812375.6245707427,1797492.5952602974,1725731.6267465646,1783532.81509331,14883.029310445301,57801.188346745446,0,0.0,1.0,0.0,0.0,0.0
33,2025-03-02T09:00:00,124557.0,74823,1760,TRANSFER,UPI,75942.21923655822,42905.59817521344,1166817.8597584357,1203502.6570875929,33036.62106134478,36684.797329157125,0,0.0,1.0,0.0,0.0,0.0
48,2025-03-03T00:00:00,437562.0,85614,1980,PAYMENT,UPI,849124.2456247187,478067.59732131613,199427.54186909282,614063.6559278208,371056.6483034026,414636.114058728,0,1.0,0.0,0.0,0.0,0.0
503,2025-03-21T23:00:00,121439.0,58101,5895,PAYMENT,CARD,857134.8365490867,744258.3098721723,342516.5631670629,376830.5720337422,112876.52667691442,34314.00886667933,0,1.0,0.0,0.0,0.0,0.0
407,2025-03-17T23:00:00,162347.0,68247,8300,PAYMENT,CARD,484049.5092531287,442345.3803166482,790578.2997839332,922955.1450723319,41704.1289364805,132376.84528839868,0,1.0,0.0,0.0,0.0,0.0
574,2025-03-24T22:00:00,103495.0,26551,3939,PAYMENT,UPI,546488.8893887044,450440.24730557314,980809.2999933552,1009357.1678727311,96048.6420831313,28547.86787937593,0,1.0,0.0,0.0,0.0,0.0
728,2025-03-31T08:00:00,123281.0,25569,4954,PAYMENT,CARD,1610094.9326392561,1580655.5720435996,74995.79500589675,83993.29270599213,29439.36059565656,8997.49770009538,0,1.0,0.0,0.0,0.0,0.0
99,2025-03-05T03:00:00,3058.0,19319,8958,DEBIT,CARD,329440.21371560503,329081.6101117758,952051.696302315,954535.7174905607,358.60360382922227,2484.021188245737,0,0.0,0.0,0.0,1.0,0.0
